iter	Passed	Remaining
815	4811	1085
816	4813	1078
817	4827	1074
818	4828	1067
819	4841	1062
820	4843	1056
821	4856	1051
822	4857	1044
823	4871	1040
824	4872	1033
825	4874	1026
826	4876	1020
827	4886	1015
828	4901	1010
829	4902	1004
830	4916	999
831	4931	995
832	4933	989
833	4946	984
834	4948	977
835	4961	973
836	4962	966
837	4964	959
838	4965	952
839	4967	946
840	4975	940
841	4990	936
842	5006	932
843	5008	925
844	5020	920
845	5022	914
846	5023	907
847	5024	900
848	5026	893
849	5027	887
850	5028	880
851	5030	873
852	5031	867
853	5035	860
854	5038	854
855	5039	847
856	5041	841
857	5042	834
858	5043	827
859	5044	821
860	5046	814
861	5048	808
862	5049	801
863	5051	795
864	5052	788
865	5054	782
866	5056	775
867	5064	770
868	5066	763
869	5067	757
870	5068	750
871	5070	744
872	5071	737
873	5072	731
874	5079	725
875	5080	719
876	5093	714
877	5096	708
878	5108	703
879	5124	698
880	5125	692
881	5138	687
882	5154	682
883	5168	678
884	5170	671
885	5171	665
886	5173	659
887	5183	653
888	5198	649
889	5201	642
890	5213	637
891	5228	633
892	5229	626
893	5231	620
894	5232	613
895	5234	607
896	5243	602
897	5244	595
898	5258	590
899	5260	584
900	5272	579
901	5274	573
902	5276	566
903	5277	560
904	5288	555
905	5291	549
906	5294	542
907	5296	536
908	5318	532
909	5320	526
910	5322	519
911	5324	513
912	5332	508
913	5347	503
914	5362	498
915	5363	491
916	5364	485
917	5377	480
918	5392	475
919	5406	470
920	5422	465
921	5436	459
922	5452	454
923	5466	449
924	5481	444
925	5483	438
926	5485	431
927	5486	425
928	5496	420
929	5526	415
930	5528	409
931	5530	403
932	5540	397
933	5555	392
934	5557	386
935	5572	381
936	5574	374
937	5577	368
938	5579	362
939	5580	356
940	5582	350
941	5584	343
942	5585	337
943	5587	331
944	5588	325
945	5600	319
946	5601	313
947	5603	307
948	5605	301
949	5615	295
950	5616	289
951	5630	283
952	5645	278
953	5647	272
954	5660	266
955	5661	260
956	5663	254
957	5664	248
958	5674	242
959	5676	236
960	5677	230
961	5679	224
962	5681	218
963	5682	212
964	5683	206
965	5684	200
966	5686	194
967	5689	188
968	5691	182
969	5692	176
970	5693	170
971	5695	164
972	5704	158
973	5719	152
974	5721	146
975	5735	141
976	5736	135
977	5749	129
978	5764	123
979	5765	117
980	5794	112
981	5796	106
982	5797	100
983	5799	94
984	5809	88
985	5824	82
986	5826	76
987	5838	70
988	5854	65
989	5855	59
990	5868	53
991	5870	47
992	5871	41
993	5873	35
994	5874	29
995	5876	23
996	5877	17
997	5892	11
998	5893	5
999	5895	0
